model,domain,gen_last,prompt_last
GLM-4-32B-0414,ai_centric,0.358,0.253
GLM-4-32B-0414,human_3rd,0.362,0.386
GLM-4-32B-0414,human_conv,0.405,0.44
Llama-3.1-8B-Instruct,ai_centric,0.285,0.253
Llama-3.1-8B-Instruct,human_3rd,0.326,0.408
Llama-3.1-8B-Instruct,human_conv,0.298,0.366
Qwen3-14B,ai_centric,0.225,0.188
Qwen3-14B,human_3rd,0.258,0.325
Qwen3-14B,human_conv,0.34,0.437
Qwen3.6-27B,ai_centric,0.199,0.272
Qwen3.6-27B,human_3rd,0.237,0.385
Qwen3.6-27B,human_conv,0.352,0.527
gemma-4-12b-it,ai_centric,0.249,0.288
gemma-4-12b-it,human_3rd,0.25,0.366
gemma-4-12b-it,human_conv,0.314,0.445
