layer,taxonomy,mean_correlation,std_correlation,partial_complexity,noise_ceiling
0,ekman_basic_emotions,0.0,0.0,,
0,plutchik_wheel,0.0,0.0,,
0,go_emotions,0.0,0.0,0.0,
1,ekman_basic_emotions,-0.008253963301034822,0.014590290745348341,,0.005067083025328152
1,plutchik_wheel,0.003974140016770989,0.009193246456424355,,0.005067083025328152
1,go_emotions,0.01297895788935953,0.002796648464223735,0.012182515563088372,0.005067083025328152
2,ekman_basic_emotions,-0.011886300092082046,0.015062445410591563,,-0.002811373292772413
2,plutchik_wheel,0.0039912884022813315,0.008365025620811543,,-0.002811373292772413
2,go_emotions,0.013188520446594087,0.003363133429168933,0.010329274681538323,-0.002811373292772413
3,ekman_basic_emotions,-0.024522416691396515,0.015379568490138551,,0.002331625343852798
3,plutchik_wheel,0.0017288385450608804,0.007943392484128748,,0.002331625343852798
3,go_emotions,0.014280657027069894,0.002673117496474071,0.015443659454016594,0.002331625343852798
4,ekman_basic_emotions,-0.023336890751531104,0.012805709512387643,,0.002941240845009219
4,plutchik_wheel,-0.0015147370814835885,0.007993622885560823,,0.002941240845009219
4,go_emotions,0.012438416121599969,0.003366374826474105,0.01078550235495089,0.002941240845009219
5,ekman_basic_emotions,-0.023229677494076843,0.01158492454325426,,0.001976792879021099
5,plutchik_wheel,0.000356662384477938,0.0071329114303814965,,0.001976792879021099
5,go_emotions,0.0179510292538709,0.0033929460733996396,0.014932057842816617,0.001976792879021099
6,ekman_basic_emotions,-0.021233417440987005,0.014297582614325129,,-0.0016780293055176285
6,plutchik_wheel,0.005217383987951407,0.008248131071545688,,-0.0016780293055176285
6,go_emotions,0.02540491073647959,0.0038144750697173386,0.018871574878949204,-0.0016780293055176285
7,ekman_basic_emotions,-0.011821040395153637,0.014439997048375222,,-0.006884676566038969
7,plutchik_wheel,0.01467499899960534,0.008828595608080034,,-0.006884676566038969
7,go_emotions,0.03165691829667637,0.003918673854452937,0.021163419211108946,-0.006884676566038969
8,ekman_basic_emotions,-0.010392782502286186,0.012268400048028476,,-0.005233179990745046
8,plutchik_wheel,0.016029384390043505,0.008795454859049964,,-0.005233179990745046
8,go_emotions,0.03168910813021925,0.0041125375330303806,0.020004320442752438,-0.005233179990745046
9,ekman_basic_emotions,-0.01666689128944169,0.01220632095562548,,-0.0039347093335961635
9,plutchik_wheel,0.010651689962243652,0.008563961276543327,,-0.0039347093335961635
9,go_emotions,0.03398960850877493,0.003972455917952182,0.023777562952412547,-0.0039347093335961635
10,ekman_basic_emotions,-0.020673274536061204,0.013242148170109292,,-0.004476280002479364
10,plutchik_wheel,0.011962267928782805,0.0078617199630175,,-0.004476280002479364
10,go_emotions,0.03476419567693787,0.003499500648617064,0.02099397011911618,-0.004476280002479364
11,ekman_basic_emotions,-0.01089042766430487,0.013745424330942063,,-0.006948998646377733
11,plutchik_wheel,0.013247787276513812,0.009879316313862681,,-0.006948998646377733
11,go_emotions,0.04036879243553951,0.0038240743015400757,0.026514992097555236,-0.006948998646377733
12,ekman_basic_emotions,0.013997528316831442,0.016356830036860608,,0.0068862424733735295
12,plutchik_wheel,0.024061572958583185,0.011920308297052167,,0.0068862424733735295
12,go_emotions,0.04313186253712697,0.004945134881143462,0.026679105655409544,0.0068862424733735295
13,ekman_basic_emotions,0.018076910985957238,0.012030328623816275,,0.0045767746661748545
13,plutchik_wheel,0.025532283948176627,0.008092645587990806,,0.0045767746661748545
13,go_emotions,0.0489415769198595,0.004490650043324709,0.02953712833237459,0.0045767746661748545
14,ekman_basic_emotions,0.014891483183329184,0.013613810385616496,,0.006043789873079267
14,plutchik_wheel,0.020201527504556074,0.008308913623423364,,0.006043789873079267
14,go_emotions,0.04761746716010942,0.00470062187492503,0.03186982802258111,0.006043789873079267
15,ekman_basic_emotions,0.02152812758687299,0.016781928882430568,,-0.00034872969145895936
15,plutchik_wheel,0.018587098912813384,0.009460666521146107,,-0.00034872969145895936
15,go_emotions,0.04839906567596087,0.005270518641866774,0.03190753244900298,-0.00034872969145895936
16,ekman_basic_emotions,0.02043316929518849,0.015575604987716957,,-0.00525716500302025
16,plutchik_wheel,0.02144016149620836,0.010051462472085227,,-0.00525716500302025
16,go_emotions,0.050503796285773866,0.00465693164247307,0.036091956803079826,-0.00525716500302025
17,ekman_basic_emotions,0.03897426370616807,0.013198031236171047,,0.0062279038985018804
17,plutchik_wheel,0.03450995002003935,0.010032612103354452,,0.0062279038985018804
17,go_emotions,0.06113858688606242,0.004299881171434566,0.03529555936957746,0.0062279038985018804
18,ekman_basic_emotions,0.041913954993543674,0.013046793799352389,,-0.003972426762202027
18,plutchik_wheel,0.03941911494562633,0.010107467783846741,,-0.003972426762202027
18,go_emotions,0.0622778179042106,0.00402284965862797,0.03455105000348599,-0.003972426762202027
19,ekman_basic_emotions,0.05037961105758373,0.012503697383300936,,0.0030276714716212594
19,plutchik_wheel,0.04626032223044579,0.011637994678076044,,0.0030276714716212594
19,go_emotions,0.06754035790635368,0.005490087332156738,0.0363991733861487,0.0030276714716212594
20,ekman_basic_emotions,0.049445331429695226,0.015528975955897015,,0.00107498429830338
20,plutchik_wheel,0.050910370913629654,0.011390581240495891,,0.00107498429830338
20,go_emotions,0.07148396852004817,0.005837848404791073,0.03804048445937646,0.00107498429830338
21,ekman_basic_emotions,0.05552345028322237,0.014045200394730012,,0.0015680170926004478
21,plutchik_wheel,0.054557048605624124,0.010506645633236625,,0.0015680170926004478
21,go_emotions,0.07187648415167387,0.005340681572374554,0.03803987664014685,0.0015680170926004478
22,ekman_basic_emotions,0.05577439424306733,0.013709304444081536,,-0.009756087898427463
22,plutchik_wheel,0.051852930984313914,0.011319216530077851,,-0.009756087898427463
22,go_emotions,0.07188416358215807,0.005195091878308997,0.03819511520337568,-0.009756087898427463
23,ekman_basic_emotions,0.07954316229754944,0.015482154508662187,,-0.0011487015652441185
23,plutchik_wheel,0.05694039413373562,0.012984650566949639,,-0.0011487015652441185
23,go_emotions,0.07350147936493225,0.005212974948121573,0.034636523381638626,-0.0011487015652441185
24,ekman_basic_emotions,0.038128831844124626,0.01425655260634742,,0.0011653006569878823
24,plutchik_wheel,0.04357654553819061,0.012296982940168562,,0.0011653006569878823
24,go_emotions,0.06902986485388102,0.00480365381672462,0.03854252439108727,0.0011653006569878823
25,ekman_basic_emotions,0.0697036357343181,0.013020974879380361,,-0.0033921643045523747
25,plutchik_wheel,0.05574960110512652,0.01153751102803415,,-0.0033921643045523747
25,go_emotions,0.0723505516069342,0.005037733824060006,0.035788774038208106,-0.0033921643045523747
26,ekman_basic_emotions,0.054046506662050194,0.01667163992253625,,-0.012412015175795084
26,plutchik_wheel,0.049171590349185515,0.010499754860572629,,-0.012412015175795084
26,go_emotions,0.07237847707659595,0.006319627785541313,0.03911420880811113,-0.012412015175795084
27,ekman_basic_emotions,0.04446488382050684,0.017369706701297578,,0.005508508953451502
27,plutchik_wheel,0.04216156849508147,0.010258677313177849,,0.005508508953451502
27,go_emotions,0.06777155540207203,0.005683139649007381,0.037024884494439976,0.005508508953451502
28,ekman_basic_emotions,0.04630859746452993,0.01636202726100862,,-0.002264321847366116
28,plutchik_wheel,0.042359722788913604,0.00900201269906488,,-0.002264321847366116
28,go_emotions,0.0660481593749801,0.005551656272715222,0.03631979336971593,-0.002264321847366116
29,ekman_basic_emotions,0.03253871978009092,0.015967189769726657,,0.003914423193863968
29,plutchik_wheel,0.040594050608629,0.010094959218274777,,0.003914423193863968
29,go_emotions,0.06140942662958149,0.005307806194591576,0.035043900067635414,0.003914423193863968
30,ekman_basic_emotions,0.032949251794529275,0.017265766025052448,,0.0012443647392162726
30,plutchik_wheel,0.04257715569652307,0.010768294577416805,,0.0012443647392162726
30,go_emotions,0.061857479267563124,0.004695421751228272,0.03478552551595693,0.0012443647392162726
31,ekman_basic_emotions,0.03872828565600472,0.01465384923450892,,-0.006974548235883858
31,plutchik_wheel,0.041318663882046476,0.010698364458337304,,-0.006974548235883858
31,go_emotions,0.0569741956208281,0.005589204797147279,0.028739918792100413,-0.006974548235883858
